exp_key,epoch,task_key,feature,num_diags,max_diag_level,0_acc_balanced,1_acc_balanced,4_acc_balanced,0_acc_pathological,0_acc_normal,1_acc_normal,1_acc_organic,1_acc_muscle_tension,1_acc_functional,4_acc_normal,4_acc_hyperfunctional_dysphonia,4_acc_recurrent_paralysis,4_acc_functional_dysphonia,4_acc_reinkes_edema,4_acc_laryngitis,4_acc_psychogenic_dysphonia,4_acc_vocal_fold_polyp,4_acc_leukoplakia
unispeechSAT_phrase_4_25_commonvoice,51,phrase,UnispeechSAT,1,4,,,0.3737733615145998,,,,,,,0.8661417322834646,0.4444444444444444,0.7428571428571429,0.09523809523809523,0.35294117647058826,0.35714285714285715,0.21428571428571427,0.09090909090909091,0.2
unispeechSAT_phrase_4_25_commonvoice,42,phrase,UnispeechSAT,1,4,,,0.36680344027109507,,,,,,,0.8582677165354331,0.4722222222222222,0.6571428571428571,0.14285714285714285,0.29411764705882354,0.0,0.2857142857142857,0.09090909090909091,0.5
unispeechSAT_phrase_4_50_emodb,9,phrase,UnispeechSAT,1,4,,,0.36090210945853984,,,,,,,0.937007874015748,0.1111111111111111,0.6,0.42857142857142855,0.0,0.5714285714285714,0.5,0.0,0.1
unispeechSAT_phrase_4_25_emodb,19,phrase,UnispeechSAT,1,4,,,0.36012218243961336,,,,,,,0.968503937007874,0.3611111111111111,0.6,0.047619047619047616,0.23529411764705882,0.5,0.42857142857142855,0.0,0.1
unispeechSAT_phrase_4_25_commonvoice,19,phrase,UnispeechSAT,1,4,,,0.35931464449296774,,,,,,,0.984251968503937,0.3333333333333333,0.6285714285714286,0.09523809523809523,0.23529411764705882,0.42857142857142855,0.42857142857142855,0.0,0.1
unispeechSAT_phrase_4_25_commonvoice,31,phrase,UnispeechSAT,1,4,,,0.3585333696033094,,,,,,,0.905511811023622,0.5,0.5714285714285714,0.09523809523809523,0.4117647058823529,0.42857142857142855,0.21428571428571427,0.0,0.1
unispeechSAT_phrase_4_25_commonvoice,29,phrase,UnispeechSAT,1,4,,,0.35662596913947847,,,,,,,0.968503937007874,0.3055555555555556,0.6571428571428571,0.09523809523809523,0.4117647058823529,0.5,0.07142857142857142,0.0,0.2
unispeechSAT_phrase_4_50_emodb,25,phrase,UnispeechSAT,1,4,,,0.3562093953942032,,,,,,,0.9291338582677166,0.5,0.6285714285714286,0.09523809523809523,0.35294117647058826,0.42857142857142855,0.07142857142857142,0.0,0.2
unispeechSAT_phrase_4_50_emodb,18,phrase,UnispeechSAT,1,4,,,0.35618513372102995,,,,,,,0.9448818897637795,0.16666666666666666,0.6285714285714286,0.2857142857142857,0.29411764705882354,0.42857142857142855,0.35714285714285715,0.0,0.1
unispeechSAT_phrase_4_50_emodb,60,phrase,UnispeechSAT,1,4,,,0.354713284873853,,,,,,,0.968503937007874,0.3055555555555556,0.7142857142857143,0.047619047619047616,0.29411764705882354,0.35714285714285715,0.21428571428571427,0.09090909090909091,0.2
